loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical0payload0total0cohesion,critical0payload0non0cf0cohesion,critical0payload0mem0cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.8689,1,0.4264,0.0155,0,0.07407,0.07407,0,46,0,46,0,8,2,6,0
2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,0.1326,1,0.006707,0.0003232,0,0.0001984,0.0001984,0,64,0,64,0,4976,2488,2488,0
911,0.8935,3,0.4482,0.04462,0,0.04474,0.04474,0,759,0,759,0,68,34,34,0
1813,0.8853,2,0.4268,0.04729,0,0.07863,0.07863,0,1526,0,1526,0,280,140,140,0
75,0.7733,0,0.4061,0.05455,0,0,0,0,53,0,53,0,0,0,0,0
81,0.1235,1,0.06061,0,0,0,0,0,0,0,0,0,20,10,10,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.8689,1,0.4264,0.0155,0,0.07407,0.07407,0,46,0,46,0,8,2,6,0
2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2974,0.1241,1,0.005819,0.001455,0,0.0001992,0.0001992,0,45,0,45,0,4976,2488,2488,0
915,0.894,3,0.4484,0.04444,0,0.04452,0.04452,0,763,0,763,0,68,34,34,0
1813,0.8853,2,0.4268,0.04729,0,0.07863,0.07863,0,1526,0,1526,0,280,140,140,0
75,0.7733,0,0.4061,0.05455,0,0,0,0,53,0,53,0,0,0,0,0
81,0.1235,1,0.06061,0,0,0,0,0,0,0,0,0,20,10,10,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.8689,1,0.4264,0.0155,0,0.07407,0.07407,0,46,0,46,0,8,2,6,0
67,0.8806,1,0.3571,0.005952,0,0.08989,0.08989,0,10,0,10,0,79,21,58,0
46,0.7174,1,0.2241,0.03448,0,0.2105,0.1228,0,31,11,20,0,26,12,14,0
100,0.51,4,0.1676,0.01117,0,0.02362,0.02362,0,16,6,10,0,111,54,57,0
36,0.6111,2,0.3171,0.04878,0,0.09091,0.09091,0,14,0,14,0,8,2,6,0
22,0.4545,0,0.2553,0.04255,0,0,0,0,7,0,7,0,0,0,0,0
12,0.4167,0,0.24,0.04,0,0,0,0,2,0,2,0,0,0,0,0
77,0.3896,3,0.09701,0,0,0,0,0,0,0,0,0,105,51,54,0
36,0.6111,2,0.3171,0.04878,0,0.09091,0.09091,0,14,0,14,0,8,2,6,0
22,0.4545,0,0.2553,0.04255,0,0,0,0,7,0,7,0,0,0,0,0
28,0.5,0,0.3,0.06667,0,0,0,0,8,0,8,0,0,0,0,0
12,0.4167,0,0.24,0.04,0,0,0,0,2,0,2,0,0,0,0,0
41,0.2927,1,0.1429,0.01786,0,0.05263,0.05263,0,3,0,3,0,16,8,8,0
23,0.4348,1,0.2353,0.03922,0,0.3333,0.3333,0,5,0,5,0,4,1,3,0
10,0.3,0,0.1905,0.04762,0,0,0,0,0,0,0,0,0,0,0,0
64,0.5156,3,0.2212,0.01923,0,0.03636,0.03636,0,13,0,13,0,42,21,21,0
34,0.6765,1,0.3293,0.04878,0,0.1481,0.1481,0,16,0,16,0,11,4,7,0
8,0.125,0,0.05882,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.6,2,0.2941,0.02941,0,0.2,0.2,0,12,0,12,0,8,3,5,0
58,0.431,3,0.1818,0.02273,0,0.04762,0.04762,0,8,0,8,0,34,17,17,0
32,0.5625,1,0.2899,0.02899,0,0.05882,0.05882,0,13,0,13,0,4,1,3,0
219,0.2831,6,0.0323,0,0,0.01073,0.01073,0,7,0,7,0,552,276,276,0
58,0.431,3,0.1818,0.02273,0,0.04762,0.04762,0,8,0,8,0,34,17,17,0
26,0.5385,1,0.2807,0.03509,0,0.07692,0.07692,0,9,0,9,0,4,1,3,0
48,0.6667,1,0.3115,0.04918,0,0.1818,0.1818,0,20,0,20,0,24,8,16,0
26,0.5385,1,0.2807,0.03509,0,0.07692,0.07692,0,9,0,9,0,4,1,3,0
30,0.5667,1,0.2899,0.04348,0,0.2222,0.2222,0,10,0,10,0,8,2,6,0
32,0.5625,1,0.2899,0.02899,0,0.05882,0.05882,0,13,0,13,0,4,1,3,0
26,0.5385,1,0.2807,0.03509,0,0.07692,0.07692,0,9,0,9,0,4,1,3,0
40,0.65,1,0.3077,0.05769,0,0.1667,0.1667,0,18,0,18,0,18,8,10,0
17,0.1176,0,0.05714,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.1538,0,0.07143,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.5926,1,0.3016,0.04762,0,0.1765,0.1765,0,10,0,10,0,7,2,5,0
82,0.5976,5,0.2424,0.0303,0,0.1264,0.1264,0,25,0,25,0,62,31,31,0
32,0.7188,2,0.3165,0.02532,0,0.1875,0.1875,0,14,0,14,0,18,7,11,0
26,0.6154,1,0.3115,0.04918,0,0.1765,0.1765,0,10,0,10,0,7,2,5,0
242,0.05372,2,0.007212,0.007212,0,0.04,0,0,3,2,1,0,22,10,12,0
227,0.2159,2,0.01882,0.009412,0,0.01384,0.01038,0,6,2,4,0,283,140,143,0
192,0.6615,2,0.01957,0.01957,0,0.01996,0.01109,0,13,4,9,0,438,218,220,0
39,0.1026,0,0.05063,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.07692,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.4444,2,0.1918,0.0274,0,0.05714,0.05714,0,7,0,7,0,28,14,14,0
24,0.08333,0,0.03704,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.5926,1,0.3016,0.04762,0,0.1765,0.1765,0,10,0,10,0,7,2,5,0
50,0.16,1,0.08,0,0,0,0,0,0,0,0,0,12,6,6,0
39,0.05128,0,0.02222,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.4,0,0.2258,0.03226,0,0,0,0,3,0,3,0,0,0,0,0
67,0.8806,1,0.3571,0.005952,0,0.08989,0.08989,0,10,0,10,0,79,21,58,0
63,0.4921,0,0.2481,0.03101,0,0,0,0,25,3,22,0,0,0,0,0
57,0.3684,3,0.1463,0.0122,0,0.05714,0.05714,0,3,0,3,0,32,15,17,0
32,0.0625,0,0.02899,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.08108,0,0.06452,0.06452,0,0,0,0,2,1,1,0,0,0,0,0
26,0.03846,0,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0.686,1,0.02885,0.009615,0,0.00495,0.00495,0,2,0,2,0,200,98,102,0
44,0.04545,0,0.02222,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.125,0,0.05714,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.07639,1,0.01803,0,0,0,0,0,0,0,0,0,4,1,3,0
159,0.1698,2,0.0177,0.003933,0,0,0,0,1,0,1,0,72,36,36,0
10,0.4,1,0.1818,0,0,0,0,0,0,0,0,0,4,1,3,0
23,0.08696,0,0.02778,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.06452,0,0.02941,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.08696,0,0.02128,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.08696,0,0.02128,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.3784,5,0.1739,0.02899,0,0.05,0.05,0,6,0,6,0,34,15,19,0
24,0.375,1,0.2,0.02,0,0,0,0,2,0,2,0,4,1,3,0
56,0.1964,0,0.1037,0.02222,0,0,0,0,3,0,3,0,0,0,0,0
60,0.15,0,0.04839,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.7273,3,0.075,0.00625,0,0.259,0.1079,0,60,39,21,0,79,32,47,0
23,0.1304,0,0.06897,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.7179,1,0.3299,0.04124,0,0.2162,0.2162,0,18,0,18,0,19,6,13,0
69,0.04348,0,0.01463,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.6364,1,0.3421,0.06579,0,0.2105,0.2105,0,17,0,17,0,2,1,1,0
57,0.2456,1,0.1176,0.02353,0,0.06667,0.06667,0,2,0,2,0,28,12,16,0
33,0.6061,1,0.2778,0,0,0.08333,0.08333,0,8,0,8,0,16,4,12,0
78,0.1795,1,0.06061,0,0,0,0,0,0,0,0,0,48,24,24,0
27,0.7037,1,0.3148,0.01852,0,0.1667,0.1667,0,13,3,10,0,5,2,3,0
28,0.7143,0,0.3462,0.01923,0,0,0,0,15,3,12,0,0,0,0,0
21,0.1905,1,0.09091,0,0,0,0,0,0,0,0,0,4,1,3,0
47,0.6596,1,0.3298,0,0,0.06667,0.06667,0,24,0,24,0,6,2,4,0
32,0.75,2,0.3521,0.01408,0,0.1852,0.1852,0,13,0,13,0,14,3,11,0
367,0.485,6,0.0005144,0.0005144,0,0.01497,0.005879,0,53,36,17,0,1818,904,914,0
320,0.1406,3,0.03604,0.007871,0,0.02564,0.02564,0,15,0,15,0,24,9,15,0
45,0.04444,0,0.01449,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0.05168,2,0.01661,0.01246,0,0.2222,0.2222,0,14,0,14,0,4,2,2,0
21,0.09524,0,0.04651,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.4878,1,0.259,0.01807,0,0.06061,0.06061,0,31,0,31,0,2,1,1,0
23,0.08696,0,0.03448,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.04444,0,0.01449,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.7179,2,0.275,0.025,0,0.1875,0,0,24,8,16,0,8,2,6,0
23,0.5652,0,0.2979,0.02128,0,0,0,0,10,0,10,0,0,0,0,0
43,0.04651,0,0.01587,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0.1043,1,0.07692,0.03628,0,0.1333,0.1333,0,13,0,13,0,2,1,1,0
23,0.08696,0,0.03448,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.04651,0,0.01587,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.08333,0,0.03448,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.129,0,0.04839,0.01613,0,0,0,0,9,0,9,0,0,0,0,0
47,0.04255,0,0.01307,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.1053,0,0.04255,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.06897,0,0.02198,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.09091,0,0.03636,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.1176,0,0.04878,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.19,1,0.08824,0.003676,0,0.0625,0.0625,0,8,2,6,0,8,4,4,0
20,0.05,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.05882,0,0.02564,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.125,0,0.05405,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0.0625,0,0.03696,0.02043,0,0,0,0,5,0,5,0,0,0,0,0
17,0.1176,0,0.04878,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.08,0,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.5238,0,0.2791,0.02326,0,0,0,0,8,0,8,0,0,0,0,0
19,0.2632,1,0.122,0,0,0,0,0,0,0,0,0,4,1,3,0
19,0.2632,1,0.122,0,0,0,0,0,0,0,0,0,4,1,3,0
16,0.5625,2,0.25,0,0,0,0,0,1,0,1,0,10,3,7,0
24,0.7083,1,0.2391,0,0,0.05263,0.05263,0,13,6,7,0,6,2,4,0
18,0.5,1,0.2683,0.04878,0,0.125,0.125,0,3,0,3,0,5,1,4,0
356,0.1404,6,0.009365,0.0008143,0,0.01053,0.01053,0,3,1,2,0,92,46,46,0
175,0.96,1,0.06504,0,0,0.09119,0.02736,0,36,21,15,0,293,154,139,0
20,0.7,2,0.2381,0,0,0.2222,0.05556,0,8,4,4,0,10,3,7,0
112,0.125,1,0.06349,0.01587,0,0.0303,0.0303,0,5,0,5,0,28,14,14,0
73,0.9041,1,0.1569,0,0,0.1062,0.04425,0,18,7,11,0,95,46,49,0
121,0.3223,4,0.2,0.01538,0,0.04918,0.04918,0,17,1,16,0,44,22,22,0
82,0.9146,1,0.1395,0,0,0.09848,0.03788,0,19,8,11,0,113,56,57,0
33,0.6667,0,0.3714,0.05714,0,0,0,0,16,0,16,0,0,0,0,0
23,0.6957,1,0.2273,0,0,0.05556,0.05556,0,12,6,6,0,6,2,4,0
31,0.4839,2,0.2286,0.01429,0,0.2941,0.2941,0,7,0,7,0,10,3,7,0
31,0.4839,2,0.2286,0.01429,0,0.2941,0.2941,0,7,0,7,0,10,3,7,0
40,0.825,3,0.1744,0,0,0.2909,0.09091,0,31,17,14,0,24,8,16,0
17,0.5294,0,0.2857,0.02857,0,0,0,0,6,0,6,0,0,0,0,0
16,0.5,0,0.2727,0.0303,0,0,0,0,5,0,5,0,0,0,0,0
112,0.04464,0,0.01858,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.8793,2,0.3333,0.00641,0,0.1609,0.1609,0,35,0,35,0,52,23,29,0
12,0.4167,0,0.24,0.04,0,0,0,0,2,0,2,0,0,0,0,0
21,0.6667,2,0.2273,0,0,0.2222,0.05556,0,8,4,4,0,10,3,7,0
112,0.04464,0,0.01858,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.8793,2,0.3333,0.00641,0,0.1609,0.1609,0,35,0,35,0,52,23,29,0
12,0.4167,0,0.24,0.04,0,0,0,0,2,0,2,0,0,0,0,0
134,0.0597,0,0.05556,0.01852,0,0,0,0,6,0,6,0,0,0,0,0
38,0.6316,1,0.2979,0.04255,0,0.1562,0.1562,0,16,0,16,0,16,6,10,0
60,0.7833,1,0.3846,0.02308,0,0.102,0.102,0,38,0,38,0,11,3,8,0
24,0.125,0,0.05882,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.2143,2,0.09953,0.01422,0,0.2857,0.2857,0,6,0,6,0,8,2,6,0
19,0.4211,0,0.25,0.05,0,0,0,0,4,0,4,0,0,0,0,0
22,0.6364,1,0.3,0.02,0,0.1875,0.1875,0,7,0,7,0,9,2,7,0
83,0.2048,1,0.08589,0.006135,0,0.0625,0.0625,0,8,2,6,0,8,4,4,0
20,0.05,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.08824,0,0.0411,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.04167,0,0.007472,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.08696,0,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.04878,0,0.01075,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.08,0,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.04255,0,0.01439,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.06061,0,0.02299,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0.8806,1,0.3571,0.005952,0,0.08989,0.08989,0,10,0,10,0,79,21,58,0
